n	time_QuickSort
0	2
1	0
2	0
3	0
4	0
5	1
6	1
7	1
8	1
9	1
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	2
19	2
20	1
21	2
22	2
23	3
24	2
25	3
26	2
27	3
28	2
29	3
30	2
31	3
32	2
33	3
34	3
35	3
36	3
37	4
38	3
39	4
40	4
41	4
42	4
43	5
44	3
45	3
46	3
47	3
48	4
49	3
50	3
51	3
52	4
53	4
54	4
55	4
56	5
57	4
58	5
59	5
60	4
61	5
62	5
63	5
64	5
65	5
66	5
67	5
68	5
69	6
70	5
71	6
72	6
73	6
74	6
75	6
76	6
77	6
78	6
79	7
80	6
81	6
82	6
83	20
84	7
85	8
86	6
87	7
88	6
89	7
90	7
91	8
92	6
93	8
94	8
95	7
96	8
97	7
98	8
99	8
100	9
101	8
102	9
103	8
104	10
105	9
106	9
107	8
108	9
109	10
110	9
111	9
112	10
113	9
114	10
115	9
116	10
117	10
118	10
119	10
120	10
121	10
122	11
123	9
124	10
125	10
126	11
127	11
128	11
129	12
130	11
131	11
132	11
133	10
134	11
135	11
136	11
137	11
138	12
139	12
140	11
141	12
142	13
143	13
144	12
145	12
146	12
147	13
148	13
149	14
150	12
151	15
152	13
153	13
154	14
155	15
156	14
157	15
158	15
159	14
160	13
161	15
162	15
163	16
164	14
165	15
166	14
167	15
168	15
169	16
170	15
171	15
172	15
173	15
174	15
175	17
176	16
177	17
178	15
179	17
180	17
181	18
182	16
183	17
184	17
185	18
186	16
187	17
188	17
189	18
190	17
191	18
192	18
193	18
194	17
195	18
196	18
197	18
198	18
199	20
200	18
201	19
202	18
203	18
204	18
205	18
206	18
207	20
208	18
209	20
210	19
211	20
212	19
213	19
214	18
215	20
216	21
217	20
218	19
219	20
220	20
221	19
222	19
223	20
224	20
225	22
226	20
227	20
228	20
229	20
230	21
231	21
232	20
233	21
234	20
235	21
236	23
237	21
238	24
239	22
240	23
241	21
242	23
243	22
244	23
245	23
246	26
247	23
248	23
249	23
250	23
251	23
252	22
253	21
254	23
255	24
256	22
257	24
258	23
259	37
260	23
261	24
262	23
263	24
264	23
265	24
266	23
267	24
268	23
269	23
270	25
271	24
272	33
273	24
274	25
275	28
276	26
277	25
278	25
279	25
280	25
281	25
282	25
283	25
284	27
285	24
286	25
287	26
288	26
289	26
290	25
291	26
292	25
293	28
294	26
295	28
296	25
297	49
298	26
299	29
300	28
301	34
302	27
303	29
304	27
305	29
306	26
307	28
308	27
309	30
310	27
311	28
312	29
313	28
314	29
315	27
316	29
317	30
318	29
319	30
320	29
321	29
322	29
323	29
324	30
325	29
326	28
327	30
328	30
329	29
330	30
331	30
332	29
333	29
334	31
335	30
336	29
337	28
338	30
339	30
340	31
341	32
342	31
343	30
344	31
345	31
346	31
347	31
348	32
349	32
350	30
351	31
352	33
353	31
354	35
355	32
356	46
357	34
358	34
359	31
360	31
361	35
362	30
363	32
364	31
365	32
366	34
367	34
368	32
369	35
370	34
371	32
372	32
373	33
374	32
375	32
376	32
377	36
378	32
379	34
380	32
381	33
382	36
383	34
384	63
385	34
386	35
387	34
388	36
389	34
390	36
391	34
392	33
393	36
394	36
395	36
396	35
397	37
398	34
399	36
400	33
401	34
402	40
403	35
404	38
405	37
406	34
407	36
408	37
409	38
410	38
411	39
412	38
413	38
414	39
415	38
416	36
417	40
418	38
419	39
420	36
421	40
422	41
423	40
424	42
425	39
426	38
427	39
428	39
429	39
430	40
431	42
432	40
433	40
434	39
435	39
436	40
437	39
438	40
439	39
440	41
441	38
442	40
443	41
444	40
445	50
446	45
447	41
448	40
449	41
450	41
451	43
452	39
453	40
454	44
455	42
456	41
457	45
458	39
459	41
460	41
461	42
462	43
463	41
464	44
465	42
466	41
467	43
468	45
469	44
470	42
471	41
472	43
473	46
474	43
475	45
476	43
477	44
478	46
479	43
480	48
481	43
482	44
483	45
484	44
485	44
486	47
487	43
488	44
489	46
490	44
491	46
492	47
493	47
494	44
495	49
496	46
497	45
498	44
499	46
500	46
501	47
502	45
503	45
504	49
505	46
506	58
507	51
508	49
509	47
510	47
511	48
512	46
513	50
514	48
515	48
516	49
517	49
518	49
519	48
520	49
521	47
522	53
523	49
524	50
525	47
526	52
527	50
528	51
529	49
530	50
531	51
532	48
533	52
534	50
535	50
536	55
537	50
538	52
539	49
540	50
541	53
542	49
543	53
544	50
545	54
546	51
547	83
548	61
549	59
550	50
551	51
552	50
553	52
554	51
555	51
556	54
557	52
558	55
559	55
560	54
561	52
562	86
563	65
564	62
565	63
566	59
567	59
568	61
569	59
570	59
571	65
572	58
573	57
574	58
575	58
576	59
577	57
578	57
579	58
580	61
581	59
582	66
583	59
584	62
585	59
586	56
587	57
588	62
589	59
590	62
591	59
592	64
593	62
594	61
595	62
596	63
597	63
598	64
599	60
600	60
601	74
602	58
603	55
604	57
605	59
606	58
607	55
608	59
609	56
610	57
611	61
612	58
613	59
614	60
615	59
616	61
617	60
618	59
619	59
620	59
621	59
622	60
623	59
624	62
625	63
626	60
627	61
628	57
629	60
630	76
631	61
632	60
633	61
634	59
635	62
636	60
637	63
638	59
639	61
640	64
641	62
642	63
643	59
644	60
645	62
646	62
647	63
648	61
649	64
650	63
651	62
652	62
653	62
654	62
655	61
656	61
657	65
658	72
659	70
660	66
661	63
662	65
663	64
664	66
665	62
666	65
667	65
668	65
669	62
670	64
671	63
672	64
673	65
674	64
675	69
676	63
677	66
678	63
679	66
680	65
681	65
682	67
683	66
684	66
685	69
686	69
687	68
688	66
689	65
690	64
691	65
692	68
693	67
694	66
695	66
696	67
697	68
698	70
699	68
700	66
701	66
702	73
703	70
704	67
705	65
706	69
707	69
708	72
709	67
710	68
711	72
712	72
713	72
714	68
715	68
716	81
717	65
718	71
719	66
720	69
721	68
722	65
723	71
724	68
725	66
726	69
727	70
728	68
729	67
730	69
731	71
732	71
733	73
734	67
735	73
736	70
737	67
738	71
739	69
740	68
741	113
742	114
743	180
744	108
745	114
746	132
747	93
748	117
749	90
750	105
751	69
752	95
753	160
754	100
755	95
756	123
757	73
758	69
759	72
760	73
761	74
762	70
763	71
764	70
765	69
766	73
767	72
768	75
769	76
770	73
771	77
772	70
773	75
774	73
775	76
776	75
777	73
778	72
779	79
780	74
781	75
782	73
783	76
784	75
785	74
786	78
787	77
788	76
789	74
790	75
791	73
792	74
793	73
794	73
795	76
796	76
797	74
798	80
799	80
800	77
801	75
802	80
803	83
804	77
805	82
806	76
807	75
808	75
809	81
810	77
811	80
812	75
813	81
814	75
815	75
816	78
817	76
818	77
819	78
820	78
821	78
822	80
823	78
824	79
825	87
826	80
827	82
828	84
829	81
830	83
831	81
832	104
833	166
834	84
835	100
836	108
837	161
838	179
839	152
840	81
841	80
842	85
843	86
844	137
845	131
846	116
847	87
848	84
849	82
850	80
851	82
852	81
853	85
854	82
855	79
856	88
857	83
858	82
859	84
860	86
861	91
862	80
863	85
864	85
865	87
866	80
867	82
868	84
869	83
870	83
871	83
872	85
873	88
874	89
875	81
876	84
877	82
878	87
879	81
880	84
881	82
882	87
883	85
884	83
885	94
886	86
887	85
888	86
889	85
890	87
891	85
892	87
893	86
894	87
895	85
896	87
897	88
898	92
899	87
900	93
901	89
902	87
903	87
904	86
905	106
906	92
907	86
908	89
909	84
910	92
911	92
912	92
913	87
914	90
915	89
916	127
917	184
918	134
919	97
920	204
921	214
922	180
923	148
924	116
925	107
926	95
927	90
928	106
929	93
930	93
931	92
932	90
933	103
934	92
935	92
936	93
937	95
938	93
939	94
940	93
941	95
942	93
943	96
944	95
945	123
946	99
947	101
948	94
949	94
950	96
951	97
952	91
953	92
954	100
955	98
956	93
957	95
958	97
959	95
960	96
961	95
962	96
963	95
964	96
965	102
966	102
967	105
968	96
969	96
970	99
971	94
972	96
973	94
974	97
975	97
976	100
977	98
978	99
979	96
980	99
981	98
982	97
983	101
984	97
985	102
986	104
987	99
988	98
989	108
990	102
991	103
992	125
993	98
994	116
995	104
996	103
997	99
998	111
999	99
1000	101
1001	107
1002	101
1003	103
1004	102
1005	99
1006	108
1007	106
1008	103
1009	103
1010	109
1011	99
1012	107
1013	105
1014	104
1015	101
1016	102
1017	99
1018	100
1019	101
1020	103
1021	103
1022	105
1023	115
1024	108
1025	99
1026	101
1027	99
1028	100
1029	103
1030	101
1031	101
1032	101
1033	101
1034	98
1035	106
1036	98
1037	103
1038	109
1039	100
1040	105
1041	104
1042	100
1043	105
1044	98
1045	102
1046	105
1047	99
1048	102
1049	109
1050	102
1051	101
1052	103
1053	110
1054	105
1055	104
1056	157
1057	151
1058	134
1059	171
1060	206
1061	166
1062	204
1063	123
1064	104
1065	115
1066	105
1067	105
1068	101
1069	107
1070	103
1071	107
1072	106
1073	150
1074	110
1075	103
1076	115
1077	112
1078	106
1079	107
1080	106
1081	109
1082	110
1083	107
1084	104
1085	108
1086	109
1087	109
1088	107
1089	111
1090	117
1091	115
1092	106
1093	106
1094	111
1095	108
1096	114
1097	107
1098	110
1099	110
1100	108
1101	111
1102	106
1103	107
1104	110
1105	112
1106	112
1107	107
1108	115
1109	106
1110	107
1111	113
1112	111
1113	107
1114	115
1115	116
1116	120
1117	111
1118	113
1119	111
1120	117
1121	113
1122	112
1123	106
1124	104
1125	177
1126	144
1127	185
1128	157
1129	201
1130	160
1131	114
1132	147
1133	190
1134	163
1135	213
1136	111
1137	113
1138	113
1139	116
1140	117
1141	116
1142	112
1143	111
1144	112
1145	113
1146	115
1147	113
1148	115
1149	115
1150	119
1151	120
1152	115
1153	114
1154	110
1155	119
1156	114
1157	121
