n	time_ShakerSort	time_QuickSort
0	4	2
1	0	0
2	0	0
3	2	1
4	1	0
5	2	1
6	0	0
7	0	0
8	1	0
9	1	2
10	1	2
11	0	2
12	1	1
13	1	1
14	1	1
15	2	1
16	3	2
17	3	1
18	1	2
19	2	2
20	2	1
21	2	3
22	2	2
23	2	2
24	3	2
25	3	2
26	4	2
27	4	2
28	5	2
29	6	2
30	4	2
31	5	2
32	5	2
33	5	3
34	5	3
35	4	3
36	6	3
37	6	4
38	7	3
39	6	2
40	8	3
41	8	3
42	9	3
43	8	2
44	10	3
45	11	3
46	9	3
47	11	3
48	10	3
49	11	4
50	10	3
51	11	3
52	13	4
53	12	4
54	13	5
55	13	5
56	13	6
57	12	6
58	13	5
59	16	6
60	15	5
61	16	6
62	15	4
63	16	5
64	15	5
65	17	5
66	18	5
67	18	5
68	21	5
69	19	5
70	19	5
71	19	5
72	22	5
73	24	6
74	23	5
75	24	6
76	23	6
77	23	6
78	25	6
79	27	6
80	27	7
81	28	6
82	27	7
83	28	7
84	29	6
85	26	7
86	32	7
87	30	7
88	32	7
89	33	6
90	33	8
91	28	7
92	34	8
93	36	7
94	35	7
95	37	8
96	35	9
97	38	9
98	32	21
99	62	21
100	31	7
101	29	7
102	31	8
103	34	8
104	32	7
105	35	7
106	34	7
107	80	10
108	78	9
109	42	9
110	38	10
111	55	8
112	35	10
113	37	8
114	42	9
115	37	9
116	43	9
117	42	9
118	43	8
119	45	8
120	44	9
121	42	9
122	44	9
123	43	9
124	46	10
125	44	9
126	46	9
127	47	10
128	49	10
129	51	9
130	46	11
131	54	10
132	50	10
133	52	9
134	50	11
135	58	12
136	53	11
137	54	11
138	58	10
139	56	11
140	57	11
141	57	11
142	60	11
143	64	11
144	61	11
145	59	12
146	67	12
147	67	11
148	65	11
149	63	11
150	67	10
151	64	11
152	66	12
153	64	12
154	67	11
155	68	12
156	70	12
157	77	12
158	72	11
159	73	12
160	73	14
161	66	13
162	76	13
163	77	13
164	77	13
165	80	13
166	79	13
167	76	13
168	81	12
169	82	13
170	84	13
171	90	12
172	85	14
173	81	12
174	87	14
175	90	13
176	89	14
177	145	17
178	127	17
179	140	16
180	96	15
181	118	21
182	128	18
183	145	19
184	145	20
185	146	19
186	143	20
187	163	21
188	177	22
189	157	19
190	168	19
191	154	23
192	171	20
193	171	20
194	173	23
195	182	20
196	172	20
197	163	23
198	176	18
199	136	17
200	112	17
201	121	17
202	120	17
203	120	17
204	118	17
205	123	19
206	117	17
207	127	16
208	125	17
209	131	18
210	123	16
211	135	18
212	132	18
213	135	19
214	129	19
215	130	19
216	126	20
217	134	19
218	139	17
219	143	18
220	134	19
221	141	18
222	150	18
223	146	18
224	139	19
225	164	19
226	151	20
227	147	18
228	141	20
229	162	20
230	154	20
231	190	22
232	174	20
233	158	19
234	166	19
235	164	19
236	157	20
237	158	21
238	164	21
239	158	20
240	172	21
241	168	20
242	191	27
243	183	40
244	176	22
245	192	21
246	171	20
247	188	20
248	159	20
249	180	20
250	177	22
251	184	21
252	175	22
253	174	21
254	190	22
255	186	21
256	186	23
257	183	22
258	193	23
259	183	22
260	190	22
261	194	22
262	186	22
263	200	22
264	188	22
265	189	22
266	205	22
267	205	23
268	198	24
269	206	23
270	216	22
271	200	23
272	216	23
273	207	22
274	209	23
275	216	23
276	224	23
277	223	23
278	216	24
279	222	24
280	216	23
281	220	22
282	230	24
283	210	24
284	230	25
285	243	27
286	226	25
287	230	28
288	214	25
289	232	24
290	226	23
291	237	25
292	231	26
293	222	23
294	247	26
295	252	26
296	247	26
297	249	25
298	257	26
299	241	24
300	243	25
301	246	25
302	245	25
303	267	25
304	256	25
305	257	25
306	256	26
307	253	26
308	258	26
309	271	26
310	268	28
311	280	28
312	276	25
313	273	27
314	276	26
315	283	29
316	262	28
317	268	28
318	281	28
319	284	27
320	277	27
321	281	28
322	290	27
323	289	26
324	289	27
325	276	27
326	300	28
327	283	48
328	321	27
329	290	28
330	294	28
331	313	28
332	300	29
333	315	31
334	304	30
335	320	28
336	340	31
337	319	29
338	324	35
339	316	32
340	333	31
341	326	31
342	311	30
343	330	31
344	367	30
345	342	30
346	318	28
347	340	30
348	340	30
349	318	32
350	333	31
351	355	31
352	348	31
353	339	29
354	339	32
355	339	32
356	319	32
357	352	30
358	361	30
359	347	31
360	366	32
361	377	31
362	362	32
363	365	32
364	361	30
365	357	31
366	376	32
367	376	33
368	383	32
369	378	33
370	386	30
